"",".rownames","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124"
"3","abdominal",9,1,1,36,0,1,1,0,0,20,3,1,1,2,1,3,1,11,11,0,1,1,1,4,2,5,1,1,2,17,1,0,7,2,2,2,3,1,3,4,4,1,2,2,2,1,1,35,7,1,1,1,3,2,3,2,1,2,8,4,16,1,4,6,2,1,4,1,1,4,0,2,3,25,7,1,1,4,1,1,1,8,5,4,4,2,1,1,8,2,1,1,7,0,1,1,5,0,1,1,2,3,4,1,1,2,1,4,8,2,0,0,0,0,1,1,3,0,3,1,1,7,6,1
"5","abnormal",2,0,1,2,0,0,0,0,0,1,1,1,0,0,1,5,1,1,1,1,1,2,0,0,2,1,1,1,4,2,1,0,0,0,1,3,1,0,0,0,0,1,0,4,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,1,4,8,2,1,0,0,0,0,0,0,1,1,3,12,0,0,0,1,0,1,1,2,8,4,0,1,0,0,3,0,0,3,1,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,4,5,0,0,2,0,0,0,5,0
"6","abnormality",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"9","abscess",8,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26,0,0,0,0,0,0,72,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"12","activity",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,4,7,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,1,0,0,0,13,0,0,11,0,0,0,7,1,0,1,0,0,0,0,12,2,4,1,1,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"13","acute",25,0,2,24,4,0,1,0,0,0,6,0,20,0,1,6,4,9,71,0,4,2,16,0,1,0,4,3,38,1,2,0,1,4,1,1,0,0,43,7,2,0,0,4,4,0,1,0,2,1,5,0,2,8,0,0,5,18,7,2,45,6,0,37,9,6,23,5,29,4,4,52,0,66,2,10,7,0,7,1,1,12,6,3,5,0,2,0,3,0,1,2,44,2,3,6,0,3,0,0,3,0,2,5,0,2,1,4,2,0,0,0,0,0,1,5,71,12,33,1,0,4,0,20
"14","adenocarcinoma",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,28,29,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,28,6,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,14,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"20","adrenal",2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,5,15,0,0,1,0,0,0,0,0,0,4,19,0,0,0,0,0,0,2,0,0,0,2,0,6,0,2,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,1,0,0,2,7,0,33,0,1,2,0,0,2,5,9,0,0,0,5,0,0,5,0,1,20,2,0,0,0,0,0,0,46,2,28,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,6,42,0,0,0,14,0
"21","advanced",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","alcohol",1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
